car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine_cc,Seats,company_name,car_prices_in_rupee
821,59385,4,0,1,2019,1197,5,18,55000
1714,51000,1,0,2,2012,2993,5,11,170000
1733,74000,1,0,1,2017,1997,7,17,99000
1043,29000,4,0,1,2020,1198,5,28,85100
429,12200,1,0,1,2021,1956,5,12,275000
751,40000,4,0,3,2019,1197,5,9,55000
1596,58000,1,1,1,2018,1582,5,9,95100
895,75000,1,0,2,2019,2755,7,29,199000
1195,72000,1,0,1,2018,1999,7,14,355000
164,23400,4,1,1,2017,1196,5,7,55000
163,59300,4,1,1,2017,1196,5,7,39000
450,72000,1,1,1,2016,1396,5,9,89000
1399,67000,1,1,1,2017,1248,5,18,45100
125,33500,4,0,1,2018,1199,5,8,72500
475,17000,4,1,2,2021,1497,5,9,127500
159,33000,1,0,1,2016,1498,5,30,69000
1108,49000,4,0,1,2015,1197,5,30,67500
752,26000,4,0,1,2015,1197,5,9,56500
1560,14500,4,1,1,2020,998,5,9,100000
1328,10000,1,0,1,2022,1493,5,13,197500
797,15001,4,0,1,2020,1451,6,16,170000
1071,55000,4,0,2,2015,1798,5,27,97500
440,38000,4,1,1,2013,1798,5,29,65000
598,110000,1,1,2,2005,2953,7,7,40000
123,65413,4,0,1,2013,1198,5,8,47500
908,45000,4,1,2,2009,1198,5,8,28000
668,44000,4,1,1,2017,1196,5,7,43000
746,40000,4,1,1,2017,1197,5,9,49000
556,49000,4,0,1,2016,1496,5,7,65100
1482,19000,1,0,1,2022,2184,4,17,175100
1878,56000,1,1,2,2013,1396,5,9,39100
358,65000,4,1,2,2010,1497,5,8,37500
637,27680,4,1,1,2013,1496,5,29,49000
1328,27305,1,0,1,2021,1493,5,13,182500
3,10793,1,0,1,2019,1995,5,1,330000
1687,12000,1,0,1,2020,1995,5,1,560000
803,44000,4,0,1,2019,1451,5,16,149900
1331,63000,4,1,1,2020,1497,5,13,119900
1894,87000,1,1,1,2019,1396,5,9,65000
103,61000,4,1,1,2010,796,5,18,19000
1889,72000,1,1,1,2016,1396,5,9,62500
46,70000,1,0,1,2015,1968,5,0,165100
1004,58000,1,1,2,2012,1461,5,23,22500
907,90000,4,1,3,2009,1198,5,8,13000
372,19000,4,1,1,2022,1497,5,8,125000
441,72159,4,0,1,2014,1798,5,29,92500
544,78000,1,1,1,2015,1498,5,7,59000
548,58000,1,1,1,2018,1498,5,7,69000
550,72000,1,1,1,2018,1498,5,7,89000
1204,56000,1,0,1,2018,1999,5,14,425000
1004,73000,1,1,1,2012,1461,5,23,29000
467,28840,4,1,1,2016,1591,5,9,89000
1397,51500,4,0,1,2019,1197,5,18,69000
1225,41370,4,0,1,2020,998,5,18,48000
467,41266,4,1,1,2016,1591,5,9,87500
1612,31740,4,0,1,2018,1591,5,9,99000
343,77876,4,1,1,2015,1373,5,18,61500
962,9500,4,1,1,2022,1498,5,27,205000
751,28387,4,0,1,2019,1197,5,9,62500
980,120000,1,0,2,2015,2987,5,20,270000
760,20000,4,1,2,2017,1197,5,9,45000
278,30686,1,0,1,2020,1950,5,20,425000
841,120000,1,1,2,2013,1396,5,28,10000
238,184000,1,1,2,2018,1493,7,17,60000
354,40000,4,0,1,2009,1497,5,8,40000
335,55000,1,1,1,2015,1248,5,18,62500
750,38000,4,1,1,2019,1197,5,9,57500
1126,40000,4,0,1,2017,1395,5,0,235000
1266,60000,4,1,2,2006,999,5,9,13500
243,110000,1,1,3,2009,2523,7,17,30000
1427,143000,1,1,2,2011,1248,5,18,21000
827,110000,1,1,3,2012,1248,5,28,12500
928,58000,1,1,1,2017,1198,6,17,47500
386,65000,4,1,2,2014,1497,5,8,55000
785,50000,1,1,1,2021,1956,5,28,170000
1806,55000,4,1,1,2015,1193,5,28,34900
1192,19500,1,0,1,2021,1999,7,14,700000
1732,78000,1,0,2,2016,2179,7,17,92500
367,58000,4,1,1,2010,1497,5,8,39000
1737,91000,1,1,1,2017,2179,7,17,102500
1730,30000,1,0,1,2016,1997,7,17,112500
203,44153,4,1,1,2018,1197,5,18,72500
275,21000,1,0,1,2018,2143,5,20,345000
1335,19000,4,1,1,2020,1497,5,13,140000
83,27300,1,0,1,2021,1493,6,9,195000
1377,31001,4,0,1,2021,1984,5,27,340000
936,50000,4,1,1,2017,999,5,26,31000
1651,77000,4,1,2,2005,998,5,18,13000
1394,53000,4,0,1,2018,1197,5,18,65000
1179,20000,4,1,1,2017,799,5,4,27500
256,72000,4,1,1,2013,1198,5,8,35000
467,26000,4,1,1,2016,1591,5,9,89000
131,66000,1,1,1,2015,1498,5,8,42500
1713,69619,1,0,1,2014,2179,5,11,220000
99,30000,4,0,1,2018,998,5,18,43000
1657,61000,4,1,1,2009,1061,5,18,21100
494,31000,1,0,1,2018,1461,5,26,97500
1108,66000,4,0,1,2015,1197,5,30,62500
1191,7700,4,0,1,2021,1997,7,14,720000
1754,9000,4,0,1,2022,1999,5,17,175000
1498,60000,4,1,2,2017,1199,5,28,34000
651,110000,4,1,3,2009,1198,5,27,11000
1338,51001,1,0,1,2020,1493,5,13,167500
422,56207,1,0,1,2020,1956,5,12,210000
710,58000,1,0,1,2019,2143,5,20,269000
1871,73290,1,1,1,2018,1396,5,9,65000
1575,44283,1,1,1,2017,1582,5,9,79000
303,48000,4,0,1,2016,998,5,18,42500
356,107500,4,1,3,2010,1497,5,8,34000
1382,80000,4,1,3,2007,1298,5,18,99999
1232,90000,4,1,2,2009,1586,5,18,20000
1622,10000,4,1,1,2021,1462,5,18,77500
1650,120000,4,1,1,2011,998,5,18,21500
1650,120000,4,1,1,2011,998,5,18,23700
1796,90000,4,1,3,2002,993,5,18,55000
924,46000,4,1,1,2018,1198,6,17,42500
1365,28000,1,1,1,2017,1461,5,23,57500
1634,24000,4,1,1,2020,1199,5,8,82500
1638,23000,4,1,1,2018,1199,5,8,69000
1639,24300,4,1,1,2018,1199,5,8,77500
1639,51000,4,1,1,2019,1199,5,8,79000
1329,6000,4,0,1,2020,1353,5,13,149000
1329,12600,4,0,1,2021,1353,5,13,172500
999,3500,1,0,1,2022,1956,7,12,370000
1813,120000,4,1,1,2011,1086,5,9,23000
768,5000,0,1,1,2022,1197,5,9,75000
1279,120000,4,1,4,2010,1086,5,9,13500
910,40000,4,0,1,2018,1199,5,8,69500
397,96000,4,1,1,2018,1497,5,8,78500
356,67000,4,1,2,2010,1497,5,8,32500
397,72000,4,1,1,2018,1497,5,8,79000
1817,89000,4,1,1,2013,1197,5,9,32100
1104,64000,1,1,1,2011,1199,5,30,33000
1446,120000,1,1,3,2010,1248,5,18,20000
899,42000,4,1,1,2017,1199,5,8,54000
1180,55000,4,1,1,2017,799,5,4,27000
1264,30000,4,1,1,2019,1086,5,9,49500
812,86500,1,0,2,2017,2179,7,28,100000
286,59000,4,0,1,2014,2354,5,8,105000
531,15000,4,1,1,2018,814,5,9,31000
1309,70000,1,1,1,2019,2179,7,17,120000
1100,50000,4,1,2,2017,1198,5,30,60000
484,110000,1,1,1,2012,1991,5,3,30000
1059,13700,4,0,1,2021,1199,5,28,92500
1442,25000,4,1,1,2019,1197,5,18,57000
567,20000,1,1,1,2021,1498,5,7,110000
1713,70000,1,0,2,2014,2179,5,11,180000
837,35000,1,1,3,2013,1405,5,28,10000
691,26629,1,0,1,2021,2755,7,29,435000
278,20000,1,0,1,2019,1950,5,20,465000
